UID,week,Year,model_code,model_family,start_date,end_date,ret_stock,ret_dos,dbr_stock,dbr_dos,wod,stocking_outlet,activating_outlet,plc_factor,tertiary,seasonality_1,seasonality_2
12024,1,2024,A1_JOSH_BOL,JOSH,,,534506,77.31417118,185601,26.84644791,11867,77833,17699,100,48394,0.106293486,0.9943348
12024,1,2024,LAVA_A3VIBE,A3,,,201237,79.14259228,73650,28.9651104,7370,49115,8403,100,17799,0.106293486,0.9943348
12024,1,2024,LF7002_A7_TORCH,A7,,,138301,98.20521404,45092,32.01907081,4155,46640,6291,100,9858,0.106293486,0.9943348
22024,2,2024,A1_JOSH_BOL,JOSH,,,547447,76.86086486,181882,25.53600225,13612,78235,18360,100,49858,0.211382624,0.97740339
22024,2,2024,LAVA_A3VIBE,A3,,,209430,81.12051793,75426,29.21547145,8694,50570,8696,100,18072,0.211382624,0.97740339
22024,2,2024,LF7002_A7_TORCH,A7,,,143535,98.94091581,42955,29.60955194,5672,46880,6406,100,10155,0.211382624,0.97740339
32024,3,2024,A1_JOSH_BOL,JOSH,,,546396,78.06135069,166340,23.7643121,11294,78473,18092,100,48997,0.314076712,0.949397608
32024,3,2024,LAVA_A3VIBE,A3,,,214129,83.24464068,68116,26.48072865,7203,51651,8699,100,18006,0.314076712,0.949397608
32024,3,2024,LF7002_A7_TORCH,A7,,,145213,101.1433831,41072,28.60736318,4573,47034,6424,100,10050,0.314076712,0.949397608
42024,4,2024,A1_JOSH_BOL,JOSH,,,544042,81.60921461,184131,27.62063645,8821,78577,17371,100,46665,0.413212186,0.910634773
42024,4,2024,LAVA_A3VIBE,A3,,,217963,90.6937526,76013,31.62878202,5688,52019,8307,100,16823,0.413212186,0.910634773
42024,4,2024,LF7002_A7_TORCH,A7,,,146199,111.1779468,40945,31.13688213,3617,46872,5954,100,9205,0.413212186,0.910634773
52024,5,2024,A1_JOSH_BOL,JOSH,,,567595,81.15842905,188646,26.97383347,8029,79683,9846,100,20981,0.5076658,0.861554081
52024,5,2024,LAVA_A3VIBE,A3,,,228395,86.65549513,81122,30.77855065,4883,53335,4657,100,7907,0.5076658,0.861554081
52024,5,2024,LF7002_A7_TORCH,A7,,,151051,110.4981712,41994,30.71982443,2809,47308,3071,100,4101,0.5076658,0.861554081
62024,6,2024,A1_JOSH_BOL,JOSH,,,558458,78.58648279,208943,29.40256111,11649,79433,18182,100,49744,0.596367359,0.802711638
62024,6,2024,LAVA_A3VIBE,A3,,,226638,83.30091888,78822,28.97106852,4283,52509,8868,100,19045,0.596367359,0.802711638
62024,6,2024,LF7002_A7_TORCH,A7,,,149910,103.4269663,37233,25.68805441,2832,46496,6392,100,10146,0.596367359,0.802711638
72024,7,2024,A1_JOSH_BOL,JOSH,,,564741,78.9248323,198424,27.73055422,17462,80822,18627,100,50088,0.678311836,0.734774151
